NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,FRENCH_LNG,FRENCH_CREOLE_LNG,ITALIAN_LNG,PORTUGESE_LNG,GERMAN_LNG,YIDDISH_LNG,OTHER_W_GERMAN_LNG,SCANDINAVIAN_LNG,GREEK_LNG,RUSSIAN_LNG,POLISH_LNG,SERBO_CROATIAN_LNG,OTHER_SLAVIC_LNG,ARMENIAN_LNG,PERSIAN_LNG,GUJARATI_LNG,HINDI_LNG,URDU_LNG,OTHER_INDIC_LNG,OTHER_INDO_EUR_LNG,CHINESE_LNG,JAPANESE_LNG,KOREAN_LNG,MON_KHMR_CMBDN_LNG,HMONG_LNG,THAI_LNG,LAOTIAN_LNG,VIETNAMESE_LNG,OTHER_ASIAN_LNG,TAGALOG_LNG,OTHER_PACIS_LNG,NAVAJO_LNG,OTHER_NATAM_LNG,HUNGARIAN_LNG,ARABIC_LNG,HEBREW_LNG,AFRICAN_ALL_LNG,ALL_OTHER_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INC,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2010_OR_LATER,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE_BORN,FOREIGN_BORN_FB,EUROPE_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,NORTHERN_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Chaffee Park,4045,2343,1506,59,0,29,0,0,108,57.92,37.23,1.46,0,0.72,0,0,2.67,2001,2044,259,240,254,96,499,444,513,735,512,556,406,172,171,849,469,849,11.59,36.2,32.8,38.1,3851,801,55,66,232,134,141,23,3050,2004,588,914,349,90,63,2917,715,738,741,723,3786,2379,1361,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1531,1531,49,1128,403,1531,865,658,207,81,126,666,537,129,119,112,90,62,19,79,151,77,102,71,160,222,136,56,44,31,47969,61932,19447.42,61639.52,69084.16,34114,35464,30700,25964,26950,35094,45469,62019,1948,15,22,61,7,78,54,377,829,137,978,1109,194600,3264,781,12,12,0,0,0,29,29,0,0,0,11,11,0,0,0,0,0,729,729,0,697,32,0,10.3,9
Sunnyside,9832,4910,4225,276,172,129,28,2,90,50.5,42.24,3.03,1.8,1.2,0.29,0.02,0.93,4981,4851,619,514,541,298,1133,986,1504,150,1186,1191,671,689,185,1972,1111,1972,10.97,34.53,33.77,35.53,9435,2108,221,140,419,367,405,201,7327,4685,1240,2028,803,249,365,7213,1549,1714,1487,2463,9213,6636,2302,26,0,55,0,17,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,6,36,20,0,0,0,29,2,0,0,8,22,8,17,0,0,71,4040,4040,171,2282,1758,4040,2425,1453,972,213,759,1615,1142,473,515,188,185,261,167,175,243,139,140,300,318,600,355,192,155,107,49574.67,50689.33,20623.15,64020.6,68421.61,34037.33,35848.33,32520,0,0,0,0,0,1944,70,65,115,93,209,273,817,463,2106,673.67,771.67,277100,8727,1105,94,12,0,44,38,84,9,11,47,17,26,16,0,0,0,10,0,901,901,7,873,21,0,20.6,17.63
Highland,8991,2444,5890,331,29,213,0,0,84,28.21,64.09,3.92,0.33,2.45,0,0,1.01,4394,4597,544,351,349,170,895,669,1997,1203,1461,825,451,293,312,1414,850,1414,8.72,32.85,33.5,31.85,8645,1672,135,81,199,342,394,246,6973,5080,1348,1954,1296,257,225,6917,760,742,1283,4132,8447,6762,1426,67,0,0,0,0,0,0,0,26,0,8,16,0,9,0,0,0,0,0,0,39,0,0,0,0,20,0,44,13,0,0,0,0,0,17,0,0,17,4560,4560,409,2132,2428,4560,1600,1064,536,173,363,2960,2168,792,402,236,189,204,159,95,110,263,152,190,527,529,419,246,438,398,67760.5,95394.5,26129.55,93792.3,117140.8,44675.5,47363,41872,0,0,0,0,0,1959.5,397,792,267,247,311,279,380,201,2095,1215.5,1312.5,379300,7900,1091,174,22,23,30,99,219,77,24,88,30,0,0,0,0,0,0,8,690,650,0,606,44,40,14.95,12.8
Globeville,3551,2178,1159,116,12,0,15,6,65,61.33,32.64,3.27,0.34,0,0.42,0.17,1.83,2050,1501,253,288,202,104,541,505,684,6274,217,424,252,106,59,847,241,847,6.79,30.3,30.2,30.4,3438,1092,37,93,192,95,406,36,2346,1405,386,540,251,54,174,2161,636,692,459,374,3298,1889,1366,17,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,14,1071,1071,122,387,684,1071,585,333,252,99,153,486,377,109,208,108,80,70,77,48,78,40,11,80,93,100,47,24,7,0,29639,46023,14350.97,40210.08,50225.47,22006,25299,18715,22583,25995,28090,24167,27083,1944,50,219,14,21,72,98,33,144,542,757,919,131900,2785,766,32,0,17,15,0,0,0,0,0,0,8,0,0,0,0,0,21,705,705,13,680,12,0,34.6,25.3
Jefferson Park,2827,1454,1114,138,51,35,0,0,35,51.43,39.41,4.88,1.8,1.24,0,0,1.24,1652,1175,181,149,71,89,330,185,686,614,399,249,73,38,22,490,97,490,3.43,31.5,30.9,31.8,2730,524,22,8,42,115,115,107,2206,1659,411,666,385,99,98,2061,726,265,296,774,2646,1313,1260,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,20,0,0,0,0,9,29,1418,1418,118,412,1006,1418,516,355,161,77,84,902,668,234,139,130,91,60,75,113,81,73,80,165,81,84,67,61,67,52,40819,46250,15539.62,69223.41,62005.04,25812,25698,26379,0,0,0,0,0,1974,158,416,9,80,166,71,169,24,443,707,804,294000,1904,923,25,11,0,0,14,5,0,0,5,0,9,0,0,0,0,9,0,884,884,0,879,5,0,27.6,24.2
Sun Valley,1438,656,223,380,16,92,0,11,60,45.62,15.51,26.43,1.11,6.4,0,0.76,4.17,707,731,268,218,194,52,486,320,225,5105,88,40,99,5,25,732,79,732,5.49,17.6,12.4,25,1295,675,93,53,128,136,74,31,620,204,18,122,25,22,17,534,275,145,89,25,1170,752,167,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,17,0,0,0,56,0,0,0,0,0,0,93,0,65,158,475,475,24,20,455,475,334,47,287,24,263,141,125,16,245,35,86,50,18,36,0,0,5,0,0,0,0,0,0,0,9849,11667,3680.74,13163.16,12602.4,10565,14464,6979,0,0,0,0,0,1956,0,0,60,15,57,44,164,88,71,218,224,137500,1138,300,1,0,0,0,1,179,0,16,86,77,76,51,25,0,0,0,0,44,44,0,44,0,0,86.5,81.1
Valverde,3750,2906,423,113,19,251,0,28,10,77.49,11.28,3.01,0.51,6.69,0,0.75,0.27,1887,1863,446,405,280,187,851,580,379,1254,696,385,181,162,45,1318,244,1318,6.51,31.5,31.6,31.3,3572,1167,122,136,127,308,91,11,2405,1380,136,504,588,79,73,2089,869,578,382,260,3304,1175,1859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,11,0,0,0,0,0,63,63,1165,1165,94,506,659,1165,802,481,321,52,269,363,333,30,195,130,98,89,97,44,74,79,41,126,69,91,5,0,16,10,27176,31591,15553.84,37229.53,39884.91,22939,24738,19746,0,0,0,0,0,1954,0,11,7,40,51,135,597,246,172,619,724,157900,2409,1341,0,0,0,0,0,199,0,0,199,0,78,21,0,0,0,57,0,1064,1064,19,1010,35,0,30.1,33.8
Athmar Park,8659,6297,1794,77,44,331,7,7,102,72.68,20.95,0.9,0.55,3.57,0.08,0.08,1.21,4701,3958,658,648,536,399,1306,1053,1582,1288,1243,1051,671,249,216,2241,685,2241,7.77,32.45,29.85,35.1,8280,2003,107,224,422,397,295,68,6277,4349,898,1723,1341,147,240,5738,1876,1635,1396,831,8001,3461,4187,12,0,7,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,14,0,19,35,0,0,0,218,1,0,0,0,0,0,11,0,0,11,2937,2937,118,1785,1152,2937,1892,1150,742,225,517,1045,787,258,220,140,174,188,127,232,203,127,102,431,367,281,149,89,101,9,47578.5,49606,19132.1,53695.48,56924.43,26902.5,28898.5,22121.5,21441,29683,34161,47708,30375,1955,0,31,76,58,382,220,1643,469,176,900.5,1009,154100,5895,2684,11,4,7,0,0,301,24,19,235,23,0,0,0,0,0,0,0,2452,2452,13,2438,1,0,17.45,15.7
Northeast Park Hill,9086,2723,1806,3813,109,92,28,15,500,29.99,19.88,41.94,1.21,1.01,0.31,0.17,5.51,4475,4611,852,759,573,363,1611,1141,1326,2131,1155,988,602,472,311,2547,1060,2547,11.67,33.1,31.35,34.55,8633,2564,306,191,481,423,468,119,6069,3305,724,1438,712,176,255,5868,1311,1610,1816,1131,8234,6031,1933,0,30,0,0,24,0,0,0,0,7,0,0,0,0,0,0,0,0,0,14,0,15,4,7,11,0,0,0,0,0,0,0,35,0,0,0,123,158,3108,3108,128,1390,1718,3108,1762,905,857,186,671,1346,1064,282,363,343,195,217,190,253,155,217,70,230,286,248,185,67,55,33,34756.5,38077,13951.27,47594.21,51652.74,24762.5,24293.5,25730,0,0,0,0,0,1968,165,307,67,182,259,310,1823,95,28,831,979.5,190800,7912,1174,21,0,3,0,18,27,0,15,12,0,155,0,0,29,0,57,14,957,957,31,902,24,0,27.3,25.1
Elyria Swansea,6676,5534,827,253,24,10,0,0,28,82.89,12.39,3.79,0.36,0.15,0,0,0.42,3515,3161,694,726,604,354,1420,1199,997,2187,1033,750,298,154,181,2378,409,2378,6.13,27,26.6,27.5,6223,2164,212,135,472,485,233,45,4059,2420,597,1069,405,175,174,3571,1610,1014,592,355,5982,1681,4284,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1736,1736,165,785,951,1736,1377,837,540,213,327,359,277,82,113,115,135,137,153,123,115,108,127,202,99,189,79,14,10,17,39433,39888,11080.74,46844.3,47152.07,22650,23862,21149,0,0,0,0,0,1952,0,67,68,63,197,133,505,215,653,767,904,131000,4403,2249,17,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2256,2256,0,2256,0,0,31.2,27.2
