NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,FRENCH_LNG,FRENCH_CREOLE_LNG,ITALIAN_LNG,PORTUGESE_LNG,GERMAN_LNG,YIDDISH_LNG,OTHER_W_GERMAN_LNG,SCANDINAVIAN_LNG,GREEK_LNG,RUSSIAN_LNG,POLISH_LNG,SERBO_CROATIAN_LNG,OTHER_SLAVIC_LNG,ARMENIAN_LNG,PERSIAN_LNG,GUJARATI_LNG,HINDI_LNG,URDU_LNG,OTHER_INDIC_LNG,OTHER_INDO_EUR_LNG,CHINESE_LNG,JAPANESE_LNG,KOREAN_LNG,MON_KHMR_CMBDN_LNG,HMONG_LNG,THAI_LNG,LAOTIAN_LNG,VIETNAMESE_LNG,OTHER_ASIAN_LNG,TAGALOG_LNG,OTHER_PACIS_LNG,NAVAJO_LNG,OTHER_NATAM_LNG,HUNGARIAN_LNG,ARABIC_LNG,HEBREW_LNG,AFRICAN_ALL_LNG,ALL_OTHER_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INC,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2010_OR_LATER,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE_BORN,FOREIGN_BORN_FB,EUROPE_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,NORTHERN_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Wellshire,3363,180,3100,30,0,38,0,0,15,5.35,92.18,0.89,0,1.13,0,0,0.45,1559,1804,306,180,189,104,486,321,179,2492,441,596,423,242,298,779,757,779,22.51,47.2,45.1,49.4,3212,740,113,17,117,142,75,96,2472,1482,398,622,350,79,33,2471,38,179,473,1781,3057,2834,54,18,0,37,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,10,9,7,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,1385,1385,30,1213,172,1385,972,795,177,28,149,413,354,59,44,8,40,56,37,41,10,33,82,95,114,133,123,94,204,269,99716,127656,42119.3,136899.28,161644.03,56687,76389,51925,0,47446,38188,56944,77685,1958,6,22,27,17,234,206,884,0,19,1606,1821,533000,3152,211,140,9,0,13,118,26,26,0,0,0,37,37,0,0,0,0,0,8,8,0,0,8,0,4.8,3.8
University,9393,663,7327,241,4,896,36,0,226,7.54,78.65,2.25,0.03,8.86,0.29,0,2.39,4725,4668,412,320,269,77,732,2046,2741,1183,761,520,662,244,176,1078,596,1078,5.75,25.75,25.7,25.35,9099,4508,151,69,185,113,3062,685,4591,4062,1338,1540,831,188,165,5004,149,634,783,3438,8981,7385,385,0,10,48,9,71,17,0,9,10,18,0,0,34,32,0,0,12,9,16,30,709,12,40,0,0,27,0,18,0,0,0,0,0,12,9,0,51,80,3609,3609,186,1564,2045,3609,1361,1093,268,150,118,2248,1670,578,601,314,147,73,127,249,136,97,132,232,289,301,284,231,270,127,46907.5,84955.5,20349,65129.01,95750.14,18282.5,21021,14439.5,0,0,0,0,0,1953,57,97,48,146,268,791,822,711,855,913,1002,351250,8366,1016,80,16,9,0,55,632,558,24,18,32,31,16,0,0,15,0,0,284,169,24,59,86,115,20.5,5.5
Rosedale,2424,172,2129,41,0,44,0,0,38,7.1,87.83,1.69,0,1.82,0,0,1.57,1300,1124,124,128,44,27,252,71,512,699,236,352,136,92,145,323,318,323,13.12,35.1,34.5,36.5,2334,431,15,53,45,26,133,94,1903,1434,238,787,278,105,26,2008,61,209,522,1216,2300,2157,73,42,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1245,1245,153,587,658,1245,503,363,140,70,70,742,530,212,96,34,64,38,66,77,65,32,20,70,119,271,118,40,70,63,64725,90282,41043.77,79117.19,117676.54,41151,45926,34583,29871,32391,31987,42048,60188,1953,16,82,69,119,61,104,339,226,382,1066,1142,342700,2332,92,9,9,0,0,0,19,11,0,8,0,0,0,0,0,0,0,0,64,39,0,29,10,25,8.8,1
Cheesman Park,8545,602,7189,297,27,251,27,1,151,6.83,84.47,3.42,0.44,3.11,0.25,0.01,1.48,4573,3972,192,55,97,85,247,244,2047,772,990,818,1252,638,235,429,1403,429,18.13,39.85,41.75,36.85,8376,999,14,14,77,135,427,314,7377,5367,1505,2093,1228,233,308,7603,243,397,1655,5308,8353,7534,340,129,0,0,16,45,0,0,0,0,31,19,23,0,0,0,0,4,0,0,0,45,0,16,0,8,0,0,0,44,9,0,0,0,0,72,0,0,90,5226,5226,514,2055,3171,5226,1320,1089,231,56,175,3906,2813,1093,303,302,244,200,294,184,339,296,159,482,661,772,394,112,252,230,55173.5,85127,48003.79,68493.9,104452.83,36611,37900.5,35428.5,0,0,0,0,0,1960,64,57,127,261,1050,1400,529,213,2039,873,891.5,279650,7884,661,295,49,95,71,80,126,78,27,21,0,79,7,0,72,0,0,0,161,97,0,62,35,64,13.5,9.1
Hilltop,9210,230,8251,301,38,160,0,24,206,2.45,89.89,3.05,0.39,1.76,0,0.3,2.17,4358,4852,834,648,593,133,1482,796,704,2088,1347,1299,1197,523,606,2208,1623,2208,17.52,42.4,41.6,43.05,8749,2255,343,117,437,247,326,212,6494,4058,921,1966,771,277,123,6518,133,342,889,5154,8376,7650,223,60,0,0,0,58,9,0,10,119,113,0,0,0,0,0,0,0,0,0,13,32,0,0,0,0,0,0,20,13,0,0,29,0,7,0,20,0,56,3856,3856,98,2825,1031,3856,2430,2081,349,112,237,1426,1164,262,111,93,46,92,132,105,59,114,102,175,271,337,354,353,273,1238,129664.5,168676,61558.35,223195.79,258834.39,75516,96953,51978.5,0,38194,51964,92188,105833,1958.5,26,538,331,155,331,435,1135,522,481,1503.5,1707.5,699200,8575,615,349,38,106,59,146,111,66,0,9,36,22,22,0,0,0,0,34,119,44,26,8,10,75,5.1,2.65
Montclair,5908,851,4695,118,23,90,0,42,89,14.4,79.47,2,0.39,1.52,0,0.71,1.51,2816,3092,250,346,181,204,596,502,838,4970,1200,670,687,254,149,981,630,981,10.66,40.1,39.6,41,5758,1413,76,69,105,224,412,230,4345,3051,550,1608,679,51,163,4543,170,502,778,3093,5658,5016,283,173,5,35,0,0,0,0,0,0,37,0,44,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,16,10,0,0,0,0,0,11,11,2771,2771,115,1850,921,2771,1430,1122,308,27,281,1341,1010,331,97,125,49,138,191,16,59,52,142,115,228,413,340,242,194,369,77868,105000,39745.33,112590.26,131175.17,51160,55050,49182,13617,26840,39485,68711,67853,1948,0,121,127,74,67,103,677,1234,483,1088,1276,348600,5321,587,126,19,12,0,95,182,34,132,16,0,32,21,0,0,0,0,0,247,171,16,155,0,76,8.4,5.9
Hale,6768,809,5030,361,52,339,0,10,167,11.7,75.5,5.22,0.8,4.36,0,0.21,2.21,3324,3444,319,243,205,36,562,252,1281,761,989,907,599,273,209,803,725,803,11.4,38.25,37.9,39.7,6571,1171,121,77,193,59,301,262,5400,4189,1196,1839,739,231,184,5557,178,538,1605,3236,6449,5731,308,37,0,0,0,35,0,0,0,9,23,0,20,0,0,24,20,0,0,0,49,113,29,0,0,11,16,0,0,0,8,0,0,0,0,16,0,0,16,4023,4023,299,1774,2249,4023,1308,979,329,77,252,2715,2174,541,391,196,145,116,271,143,155,283,271,294,282,509,407,96,162,302,63783.5,93415.5,45867.19,82152.8,113293.7,45048.5,44651,46651.5,0,0,0,0,0,1950,0,101,188,117,401,598,764,1217,936,892.5,934.5,301600,6143,616,154,11,58,0,85,206,128,21,57,0,49,17,0,16,0,16,0,216,216,10,129,77,0,10,5.6
North Park Hill,10533,1153,5543,3090,94,96,0,205,352,11.18,51.81,29.78,0.99,0.91,0,1.92,3.41,5129,5404,946,726,483,189,1672,769,1295,1476,1506,1216,909,599,436,2344,1458,2344,13.78,37,35.8,38.25,10004,2273,227,131,437,275,385,251,7731,5246,753,2731,1216,281,265,7758,862,1075,1755,4066,9587,8248,978,42,0,11,10,39,0,13,0,0,20,0,0,18,0,0,0,0,0,0,0,39,0,0,0,0,24,0,0,19,0,0,0,0,0,126,0,0,126,4120,4120,60,3494,626,4120,2523,1781,742,156,586,1597,1151,446,238,123,86,203,98,188,154,119,162,245,408,586,488,349,320,352,78416.5,89042,29737.91,91712.54,101945.23,43872,48705,41654,0,0,0,0,0,1951,7,24,51,24,75,120,1252,1301,1326,797.5,1007.5,321450,9672,822,19,19,0,0,0,90,0,0,64,26,138,0,0,119,19,0,0,614,574,9,531,34,40,11.55,9.05
South Park Hill,9150,1030,6964,631,93,198,4,0,230,11.23,76.03,6.99,1.03,2.17,0.04,0,2.51,4304,4846,732,484,426,170,1216,1059,855,1879,1354,1220,1397,421,183,1812,1351,1812,14.79,39.25,39.05,40.25,8639,1985,146,109,350,215,659,114,6654,4389,1100,2086,913,217,73,6456,359,266,1253,4578,8418,7251,839,78,6,0,0,9,0,10,37,33,0,0,11,15,0,0,0,10,39,0,0,58,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,10,10,3671,3671,101,2999,672,3671,2362,1951,411,111,300,1309,976,333,99,136,38,74,66,92,113,116,97,222,307,440,373,362,435,701,105872.5,128194.5,47533.11,131507.96,161799.19,47676.5,56414.5,42745,0,0,0,0,0,0,31,88,39,25,84,99,468,499,2439,936,1043,461400,8190,951,152,97,26,10,19,112,29,46,37,0,69,30,0,0,27,12,14,613,600,9,591,0,13,5.65,2.3
Virginia Village,14118,2704,9668,856,68,395,0,65,362,19.02,68.66,6.04,0.48,2.77,0,0.44,2.59,6962,7156,1009,683,685,211,1692,1105,2957,1318,1735,1836,1233,598,571,2588,1589,2588,11.26,36.08,36.8,35.9,13480,3283,167,146,501,411,1168,321,10197,6737,1401,2875,1482,447,532,9991,765,1798,2850,4578,13109,10345,1333,150,0,0,0,48,2,6,0,92,96,8,0,45,0,3,0,8,0,0,13,126,27,0,0,0,14,0,7,151,0,0,20,0,7,437,57,114,635,6189,6189,418,2737,3452,6189,3059,2255,804,280,524,3130,2297,833,373,271,310,346,411,417,340,434,291,532,440,814,425,311,299,177,55469,65972.75,22338.26,68702.76,82491.56,32373.75,34878,31591.5,33906,26607,34750,64208,60087,1962.25,30,45,143,382,1137,2005,2673,119,73,855,907.25,281750,11800,2224,269,34,50,65,120,763,156,38,198,371,461,128,34,257,42,0,24,801,739,0,715,24,62,14.98,11.05
