NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVE_AM,PCT_ASIAN,PCT_HAWAIIAN_PI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,BUILT_2005_OR_LATER,BUILT_2000_2004,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,NATIVE_BORN,FOREIGN_BORN_FB,PCT_IN_POVERTY,PCT_FAM_POVERTY,SHAPE_Length,SHAPE_Area
Cheesman Park,7730,968,6020,256,68,247,0,0,171,12.52,77.88,3.31,0.88,3.2,0,0,2.21,4364,3366,289,113,65,128,402,317,1559,1886,1033,1052,932,346,203,595,990,7.7,12.81,7537,1174,96,0,113,65,111,482,307,6363,4750,1544,1918,824,255,209,6401,274,760,1622,3745,5939,5182,757,1610,3572,5182,1011,771,240,131,109,4171,3447,724,601,337,147,420,194,458,152,311,400,410,372,404,282,132,180,382,49694,73527,112655,45,57,44,309,1195,1434,476,232,2147,7394,336,13.07,7.42,0.04788882,0.00014332
Hilltop,8244,338,7374,173,10,267,24,0,58,4.1,89.45,2.1,0.12,3.24,0.29,0,0.7,3824,4420,657,673,687,144,1330,918,455,926,1375,1200,1073,499,468,2161,1372,26.21,16.64,7748,2133,218,133,588,517,252,282,143,5615,3341,995,1692,465,63,126,5867,82,460,642,4683,3790,3604,186,2709,895,3604,2322,1939,383,102,281,1282,1153,129,124,79,24,38,36,138,248,142,117,200,218,509,370,304,279,778,67947,154065,199214,132,437,180,106,276,424,1242,393,600,7395,849,3.99,1.85,0.112243842,0.000468839
Montclair,5340,477,4218,383,0,91,0,0,171,8.93,78.99,7.17,0,1.7,0,0,3.2,2489,2851,369,260,171,138,629,441,573,1173,1024,679,426,186,209,938,492,17.57,9.21,5104,1261,125,18,241,154,156,435,132,3843,3208,650,1810,501,125,122,4080,31,517,1186,2346,2783,2696,87,2054,642,2696,1251,978,273,38,235,1445,1033,412,115,48,75,150,122,98,102,72,58,273,209,429,366,168,218,193,47669,93621,124760,109,29,58,84,104,93,682,1176,448,4900,440,7.28,0.96,0.067762791,0.000275503
Hale,6684,351,4969,500,15,516,0,0,333,5.25,74.34,7.48,0.22,7.72,0,0,4.98,3438,3246,455,205,167,135,660,308,1398,1652,727,966,665,142,166,962,516,14.39,7.72,6394,1680,159,31,119,131,158,580,502,4714,3925,1024,1724,812,202,163,5058,113,656,1069,3220,4362,3825,537,1762,2063,3825,1336,907,429,106,323,2489,2071,418,473,233,171,330,181,210,212,142,123,185,317,313,299,152,243,241,44441,76758,125759,56,79,72,87,277,665,1146,840,1140,6117,567,14.6,3.82,0.065764542,0.000264802
North Park Hill,9332,1285,3753,3735,13,172,0,49,325,13.77,40.22,40.02,0.14,1.84,0,0.53,3.48,4203,5129,714,438,557,507,1152,1149,1053,1682,1293,1032,931,565,475,2216,1447,23.75,15.51,8844,2341,148,77,266,447,616,576,211,6503,4103,824,1939,860,338,142,6565,588,1394,1594,2989,4125,3906,219,3207,699,3906,2452,1505,947,345,602,1454,1269,185,354,169,229,78,116,248,237,220,139,235,407,472,286,166,196,354,36495,85905,105353,39,63,9,25,102,313,899,1282,1393,8626,706,13.42,7.75,0.096233079,0.000406787
South Park Hill,8253,788,6071,790,15,226,0,24,339,9.55,73.56,9.57,0.18,2.74,0,0.29,4.11,4150,4103,886,596,315,275,1482,745,717,1292,1077,1496,889,336,219,2072,831,25.11,10.07,7837,2034,376,80,395,255,405,399,124,5803,3618,927,1758,628,134,171,5681,264,472,851,4094,3613,3389,224,2711,678,3389,2156,1824,332,69,263,1233,895,338,250,99,82,91,78,96,45,126,117,155,359,341,263,242,439,606,60789,146057,180240,71,73,21,45,25,18,499,532,2329,7785,468,7.74,6.96,0.096184604,0.000405664
University Park,7667,324,6260,72,105,637,0,51,218,4.23,81.65,0.94,1.37,8.31,0,0.67,2.84,3630,4037,274,463,292,168,737,605,2679,806,845,844,440,248,463,1197,856,15.61,11.16,7497,3427,160,48,390,219,285,1606,719,4070,3525,988,1621,668,160,88,4522,128,543,986,2865,3657,3361,296,1500,1861,3361,1335,1149,186,86,100,2026,1423,603,481,126,136,287,172,190,148,167,51,172,169,302,175,201,192,392,49147,109466,194979,260,214,222,303,306,670,864,386,432,7023,644,21.54,4.12,0.070389182,0.000316093
Platt Park,5136,350,4534,0,106,111,0,0,35,6.81,88.28,0,2.06,2.16,0,0,0.68,2545,2591,220,220,138,30,440,218,1109,1433,783,565,407,113,68,608,312,11.84,6.07,4977,983,41,34,208,116,30,333,221,3994,3244,664,1761,614,29,176,4208,161,442,952,2653,2813,2610,203,1644,966,2610,1044,885,159,0,159,1566,997,569,143,62,109,45,172,154,74,89,136,216,274,224,263,223,214,212,48018,92550,110109,193,86,0,59,86,156,266,171,1796,4921,215,7.87,5.84,0.059968883,0.000222545
College View / South Platte,6086,4028,1459,150,0,285,0,97,67,66.18,23.97,2.46,0,4.68,0,1.59,1.1,3165,2921,558,476,443,281,1034,969,1079,923,814,659,401,134,73,1758,341,28.89,5.6,5710,1419,20,124,314,386,336,185,54,4291,2598,357,1143,618,127,353,3494,1452,947,805,290,2303,2002,301,978,1024,2002,1362,834,528,154,374,640,463,177,286,344,237,60,107,115,28,102,106,135,146,246,57,16,0,17,13762,39654,42617,0,90,196,235,793,414,258,176,141,4080,2006,33.85,29.22,0.142853097,0.000395952
Overland,1919,702,1156,16,0,16,0,0,29,36.58,60.24,0.83,0,0.83,0,0,1.51,1189,730,130,143,84,82,273,187,272,399,218,322,166,49,33,439,166,22.88,8.65,1847,324,29,61,67,43,63,21,40,1523,832,374,310,100,28,20,1401,243,490,393,275,1076,930,146,384,546,930,420,269,151,60,91,510,467,43,103,24,44,38,98,24,149,47,58,170,50,71,25,0,0,29,23786,48235,62594,84,0,0,0,55,23,332,155,427,1711,208,24.34,20.71,0.082277881,0.000305342
